,Name,Bio,Twitter Profile,Website
38,Crypto Jesus,Just another DeadHead degenerate. DeFi Junkie. CEO @SolonDeFi Come join the Solon Discord: https://t.co/HKlN0XxvdT,https://twitter.com/Crypto__Jesus_,https://t.co/gmrRmwVtRb
39,6529,"https://t.co/7XzSyeUuDO
AB+1 gallery beta: https://t.co/tTYcQrxQ4Z
6529 photography: https://t.co/5kk89VyJTz
6529 gm: https://t.co/3AVx7gS6uo",https://twitter.com/punk6529,https://t.co/p7hfrjPOPs
40,Tascha,Crypto through macro lens. PhD macroeconomics. Founder https://t.co/LlYvU0aA5H. Creator world's 1st destroyed diamond NFT https://t.co/EYJiWFpdNs. NOT investment advice.,https://twitter.com/TaschaLabs,https://t.co/nYBDIGNp6O
41,BanklessDAO 🏴,BanklessDAO is a decentralized community with one mission: Help the world #gobankless.,https://twitter.com/banklessDAO,https://t.co/iq9F1og0Xz
42,Alex Svanevik,CΞO @nansen_ai. Looks rare.,https://twitter.com/ASvanevik,https://t.co/QPX9sbGEGJ
43,NansΞn🧭,"We analyze 100M+ labeled crypto wallets & their activities, so you can separate the signal from the noise. Get started: https://t.co/rcmMprRtyg",https://twitter.com/nansen_ai,https://t.co/hbP8r3SRko
44,Justin Ðrake 🦇🔊,Ethereum 2.0 researcher,https://twitter.com/drakefjustin,
45,Hasu,"research collaborator @paradigm, hosting https://t.co/suxjaVq57y with @zhusu, angel investor",https://twitter.com/hasufl,https://t.co/KKbw63V3lO
46,DavidHoffman.eth Ξ🦇🔊💰🏴,Founding Father @banklesshq Nation🏴 🔥 Recruiting an army to slay Moloch 🔪👹 Crypto-culture anthropologist 🤝 MM🌹,https://twitter.com/TrustlessState,https://t.co/vKIySEotDK
47,eric.eth,#Ethereum #DeFi #NFTs | Angel Investor | Advisor | Co-founder @ethhub_io | Co-author EIP-1559,https://twitter.com/econoar,https://t.co/MtsmkkI8l4
48,RYAN SΞAN ADAMS - rsa.eth 🦇🔊,Crypto investor going bankless. 🏴,https://twitter.com/RyanSAdams,https://t.co/cuV67we31q
49,proto.eth 🚂 🦇 🔊,"Ethereum Researcher. Optimist at @optimismPBC, prev. EF, working on #Ethereum scaling R&D.",https://twitter.com/protolambda,https://t.co/epIj55bMq1
50,"nader dabit (🧱, 🚀) | sha.eth | nader.sol","🇵🇸 | DevRel @edgeandnode @graphprotocol | @fwbtweets | created @developer_dao | Crypto, Web3, & DAOs | GraphQL | React | 2x author | prev @awscloud",https://twitter.com/dabit3,https://t.co/Y72GY0mrro
51,Neeraj K. Agrawal,comms @coincenter—the cryptocurrency policy think tank | neeraj@coincenter.org | internet censorship substack: https://t.co/toKSWwD1uD,https://twitter.com/NeerajKA,https://t.co/sEt4QHvTli
52,croissant,writer of threads,https://twitter.com/CroissantEth,https://t.co/DxR7cFddtA
53,sassal.eth 🦇🔊🐼,"Independent Ethereum educator, angel investor and advisor.

Founder @thedailygwei ⛽ | Co-Founder @ethhub_io ⟠",https://twitter.com/sassal0x,https://t.co/Gis4kL1HBS
54,aj,,https://twitter.com/ajlkn,
55,Santiago R Santos | #9159 🦇🔊⚡️,I like crypto & Harry Potter⚡️ | @PleasrDAO | Sometimes write https://t.co/HzSSlGmmwm | Host podcast https://t.co/U47ExHCKRx | Tweets not investment advice,https://twitter.com/santiagoroel,
56,garrett.mintsongs.eth,Cofounder/CTO building web3 & music at @mintsongs. DAOs: @fwbtweets @OlympusDAO Alum: @housecall @jmu @sdsu Advisor: @webstacks_,https://twitter.com/_garretthughes,https://t.co/8OBdUxxefK
57,"marckohlbrugge.eth (😈,😇)",Making https://t.co/aMZ4K3a24s https://t.co/leziY50W1F https://t.co/sxmNUGTr0X https://t.co/6qUnpK7nRx https://t.co/Ba6oQt6dim,https://twitter.com/marckohlbrugge,https://t.co/KYxpIe9rKU
58,Andrey Azimov,"🔮 https://t.co/TkwC7S8Ccm - Find a job in Web3

Prev:
Product Hunt Maker of the Year 
Sheet2Site (Acquired)
Chart2Site (Acquired)
MacBook Alarm (Acquired)
ProgressBarOSX",https://twitter.com/AndreyAzimov,https://t.co/GK98UsZbmj
59,Gajesh ◎🦀⚓️ Ξ,14.0 y/o Chief & Founder @TakshXYZ @GajFinance / DAOs. FwB. BANK. @SuperTeamDAO. / Buildooooor / Community Maxi / Degen / @anchorlang Maxi ⚓️,https://twitter.com/gajeshnaik,https://t.co/1LHdVnNaK9
60,Girl Gone Crypto,Wildy entertaining #Bitcoin and #crypto content. *not financial advice https://t.co/JIQHEkaHCu,https://twitter.com/girlgone_crypto,https://t.co/9wCzntc3Am
61,benahorowitz.eth,,https://twitter.com/bhorowitz,https://t.co/ER1GZqYMgQ
62,hayden.eth 🦄,Inventor of the @Uniswap Protocol,https://twitter.com/haydenzadams,https://t.co/AjUjSA2CZn
63,"zeneca.eth (3,3)","Thinking, writing, and speaking about NFTs

NFT: https://t.co/FHxd2pNgx6
Newsletter: https://t.co/eWBhZIVhQW
Podcast: https://t.co/KqlNLJDpBb
Discord: https://t.co/IRDtxuVnw2",https://twitter.com/Zeneca_33,https://t.co/0DnZqULBMp
64,quit,"oSnipe NFT sniping tool: https://t.co/N9QmnbsKBh

Buidler

#LazylionsNFT 🦁 #purrnelopescountryclub 😼
#BAYC/BAKC 8903 #apefollowape

quit.pcc.eth",https://twitter.com/0xQuit,
65,m0rgan.ethᵍᵐ 💎🙆🏼‍♀️🆘,MAYC #8611 | UNC TarHeel 💙 Nursing | $DOGE | $GHC Partner | NFT Enthusiast | ✨POSITIVE VIBES ✨ Creator of @GrumpkinsNFT & @MorganSmilesNFT 🌱,https://twitter.com/Helloimmorgan,https://t.co/F9lbXWVrz6
66,Gabriel Haines.eth,"WAGMI | @cre8rdao (🧱,🧱) | @cliptodao | @county_cap",https://twitter.com/gabrielhaines,https://t.co/Qde0qhTtM3
67,danielgothits.eth #ETHBOYZ,I talk about NFTs too much https://t.co/c84rBuZ1zT,https://twitter.com/danielgothits,
68,IncomeSharks,Crypto education and market analysis & predictions. https://t.co/o5twVwfGyd and https://t.co/OYOG1pUfbS,https://twitter.com/IncomeSharks,https://t.co/IqAwigjsWg
69,Wu Blockchain,"Colin Wu, Chinese journalist, won 2013 China News Award
Newsletter: https://t.co/2NVUv21JOC 
Tele Channel: https://t.co/eo4cDmu4sw
Contactus: Telegram colinwu1989",https://twitter.com/WuBlockchain,https://t.co/kucm31PAVI
70,Messari,"#theses2022 is available now! Explore key trends, people, and projects to watch, as well as projections for 2022. Read the full report: https://t.co/Gk2cLw10ws",https://twitter.com/MessariCrypto,https://t.co/ziTRuMr0Gx
71,notsofast,bitcoin beyonder : altcoin miner : economic futurist : 💙💙💙 :  ParagonsDAO : NFTs @ notsofastgallery.eth : aspiring metagame winner : no financial advice,https://twitter.com/notsofast,https://t.co/mKdltZ7uS5
72,nicdart,florida man. seed oil rejecter,https://twitter.com/nic__carter,https://t.co/XvZTcTvmug
73,Alex Gladstein 🌋 ⚡,"Chief Strategy Officer: @HRF + @OsloFF. Essays at @BitcoinMagazine. Take the orange pill, stay in wonderland, and I show you how deep the rabbit hole goes.",https://twitter.com/gladstein,https://t.co/FAqvwPPJQO
74,Joey Santoro 1+1=3,Founder and contributor @feiprotocol 💚 Seeking cryptographic freedom 🌌,https://twitter.com/joey__santoro,
75,Jai Bhavnani,not a dev @raricapital,https://twitter.com/jai_bhavnani,https://t.co/oAaCjhZyML
76,kain.eth L222,Former semi-benevolent dictator of @synthetix_io. Inventor of @aelinprotocol. House collector.,https://twitter.com/kaiynne,https://t.co/yRqNxMBjaS
77,mariano.eth ✨ᕙ༼ຈل͜ຈ༽ᕗ✨ | 🦇🔊,House #Ethereum🧉🇦🇷🐔,https://twitter.com/nanexcool,https://t.co/xzyEkmZGdS
78,Farokh.ethᵍᵐ,"Good Thoughts. Good Words. Good Deeds. ✨ Founder of Rug Radio 🎙 Entrepreneur, investor, advisor, community builder, Cool Cats lover, gm of gm and CryptoPunk 🕺",https://twitter.com/farokh,https://t.co/fMcX3W4y1R
79,kierandaniels.eth,"Co-founder, CEO @SmartDeFi -- We're Hiring! 🚀 Formerly: growth @blocknative marketing @instapage",https://twitter.com/kieran_eth,https://t.co/565YPMSFA9
80,Kyla Scanlon,"building 🍞 | interests: monetary policy, energy markets, game economies & bikes | writing and youtube: https://t.co/Uig7fqXZIq",https://twitter.com/kylascan,https://t.co/j3Wfyp3oJb
81,BitcoinLouie.eth 🦇🔊💰,Prev CM for @CryptoKitties @GodsUnchained @MLBChampions and @NBATopshot Beta _ Node Operator for @dappnode @ethStaker @Rocket_Pool and @flow_blockchain,https://twitter.com/BitcoinLouie,https://t.co/0ojE9fEJQg
82,"david phelps (🐮,🐮)(🥖,🥖)",2x founder write on web3 @ https://t.co/SxoZmGADyy invest in web3 @ https://t.co/pTvCFDKqR9 contributor @ecodao_ @gitcoin threads https://t.co/LChTqs2ecI,https://twitter.com/divine_economy,https://t.co/SxoZmGADyy
83,"Ξwoki (🤖,❤️)","internet citizen, DAO cartographer, EVM whisperer & aspiring chaos magician at @gitcoin — I spin bits for fun & profit, watch out for my MegaByte!",https://twitter.com/owocki,https://t.co/r79bzUfirG
84,nick.eth,Lead developer of ENS & Ethereum Foundation alum. he/him,https://twitter.com/nicksdjohnson,https://t.co/0bp6nwjDSZ
85,banteg,the bunny talisman of yearn,https://twitter.com/bantg,https://t.co/3ccy0hjS9k
86,Hashoshi | Crypto YouTuber & Educator,"A student of tech. Crypto, Coffee & Cartoon Maximalist. H4SH Stake Pool #COYS 
🚨 Views are my own, not representative of any other entity, nor financial advice",https://twitter.com/hashoshi4,https://t.co/mGrhRZxMMM
87,Robert Habermeier,entgleisungskünstler,https://twitter.com/rphmeier,
88,Web3 Foundation,"Web3 Foundation is building an internet where users are in control of their own data, identity and destiny. Our primary projects are @Polkadot & @kusamanetwork.",https://twitter.com/web3foundation,https://t.co/6b4zrQfZni
89,Mason Nystrom,"Research Analyst at @MessariCrypto Previously: @ConsenSys

Author: Unsyndicated: https://t.co/uu5gTsSQwv",https://twitter.com/masonnystrom,https://t.co/ApTHPYH6HX
90,Jameson Lopp,"Cypherpunk · Co-founder & CTO @CasaHODL · @BTC Times Editor · @INXLimited Advisor · creator of https://t.co/q2pgFGTJZh, https://t.co/c15g0T3qAv, https://t.co/xUkNreXj20",https://twitter.com/lopp,https://t.co/d76G9YxvqV
91,Madelon Vos,"Follow me to learn about #Macroeconomics, #Bitcoin and Technical Analysis ▫ Bitcoin since 2013 ▫ Madelon Vos on YouTube (80K+ subs) ▫️ Ex host @BNR",https://twitter.com/MadelonVos__,https://t.co/2mgrYbqVUK
92,The Crypto Dog☽,STEM PhD dropout / $crypto-trading dog🐕 Started mining #bitcoin in 2011. #blockchain #DeFi investor / market commentator. $SOV bull @trybetterbrand,https://twitter.com/TheCryptoDog,
93,AriannaSimpson.eth,General Partner @a16z investing in web3. founder @ Autonomous Partners. into crypto before it was cool.,https://twitter.com/AriannaSimpson,https://t.co/3ZrlSFMflJ
94,Katie The Russian,"#Bitcoin Katie C-137 👤Sailing, Music, Self-Sovereignty, Flag theory, and opting-out and anti-fragility. I sell passports.",https://twitter.com/KatieTheRussian,https://t.co/OxUxJa8zoc
95,Ryan Watkins,Previously Research @MessariCrypto | The revolution will not be centralized,https://twitter.com/RyanWatkins_,https://t.co/OaCPYOuKtu
96,Naval,,https://twitter.com/naval,https://t.co/KXrMLevkZl
97,Crypto Tax Girl,Making US crypto taxation easy | Don’t hesitate to reach out if you have any crypto tax questions! 🇺🇸 cryptotaxgirl@gmail.com,https://twitter.com/CryptoTaxGirl,https://t.co/fi6JhCUXo4
98,Beanie,Partner at Gm Capital 🌤 Professional gambler. Investor in Web3 native protocols. Tweets not endorsements or financial advice. See pinned post. 💰 https://t.co/QLfPzVip3h,https://twitter.com/beaniemaxi,https://t.co/K1KY123dbz
99,patrickwstanley.btc,"Founder @joinfreehold ==, ideas at @minecitycoins 🌇, previously Head of Growth @stacks Ӿ , always #Bitcoin",https://twitter.com/PatrickWStanley,
